hobbies_pastimes,sports_activities,cultural_artistic,intellectual_academic,user_id
Sewing,Gymnastics,Book clubs,Political debates,1849
Baking,Ultimate Frisbee,Sculpture gardens,Robotics competitions,1850
Stamp collecting,Gymnastics,Music concerts,Genetics research,1851
Playing guitar,Rowing,Cultural festivals,Psychology seminars,1852
Antiques collecting,Ultimate Frisbee,Stand-up comedy shows,Linguistics workshops,1853
"Model building (e.g., airplanes, ships)",Archery,Film analysis clubs,Physics lectures,1854
Yoga,Surfing,Cultural festivals,Educational technology conferences,1855
Birdwatching,Volleyball,Baroque music appreciation,Political science forums,1856
Scuba diving,Ballet,Photography exhibitions,Sociology conferences,1857
Playing chess,Rugby,Street art tours,Mathematics competitions,1858
Pottery,Rock climbing,Stand-up comedy shows,Academic publishing,1859
Reading,Judo,Impressionist art appreciation,Scientific research,1860
Pottery,Rowing,Live storytelling events,Economics forums,1861
Gardening,Swimming,Live storytelling events,Environmental sustainability workshops,1862
Astronomy,Soccer,Classical music appreciation,Robotics competitions,1863
Cooking,Tennis,Calligraphy classes,Sociology conferences,1864
Ceramics,Basketball,Opera appreciation,Philosophy discussions,1865
Cycling,Ultimate Frisbee,Film analysis clubs,Educational technology conferences,1866
Scuba diving,Judo,Sculpture gardens,Science fiction literature,1867
Coin collecting,Horseback riding,Film festivals,Archaeological digs,1868
Photography,Fencing,Theater workshops,Educational technology conferences,1869
"Model building (e.g., airplanes, ships)",Basketball,Renaissance art appreciation,Legal seminars,1870
"Model building (e.g., airplanes, ships)",Mountain biking,Film festivals,Data analysis workshops,1871
Knitting,Volleyball,Theater,Linguistic analysis,1872
Baking,Ballet,Pottery workshops,Ethical debates,1873
DIY projects,Gymnastics,Theater,Academic publishing,1874
Writing,Ballet,Ballet,Science fiction literature,1875
"Model building (e.g., airplanes, ships)",Surfing,Pottery workshops,Science fiction literature,1876
Baking,Mountain biking,Poetry readings,Climate change discussions,1877
Astronomy,Horseback riding,Calligraphy classes,Bioinformatics symposiums,1878
Playing guitar,Martial arts,Impressionist art appreciation,Philosophy discussions,1879
Gardening,Judo,Baroque music appreciation,Astronomy clubs,1880
Cooking,Judo,Live storytelling events,Physics lectures,1881
Calligraphy,Rowing,Symphony orchestra performances,Bioinformatics symposiums,1882
Meditation,Horseback riding,Book clubs,Mathematics competitions,1883
Calligraphy,Martial arts,Opera appreciation,Physics lectures,1884
"Model building (e.g., airplanes, ships)",Soccer,Renaissance art appreciation,Psychology seminars,1885
Calligraphy,Rock climbing,Theater workshops,Data analysis workshops,1886
Yoga,Horseback riding,Poetry readings,Bioinformatics symposiums,1887
Birdwatching,Fencing,Film festivals,Sociology conferences,1888
"Model building (e.g., airplanes, ships)",Golf,Poetry readings,Data analysis workshops,1889
Stamp collecting,Triathlons,Cultural festivals,Robotics competitions,1890
Astronomy,Tennis,Museums,Linguistic analysis,1891
Knitting,Gymnastics,Street art tours,Climate change discussions,1892
Camping,Ultimate Frisbee,Photography exhibitions,Economics forums,1893
Calligraphy,Skateboarding,Baroque music appreciation,Linguistics workshops,1894
Baking,Mountain biking,Photography exhibitions,Bioinformatics symposiums,1895
Writing,Golf,Symphony orchestra performances,Literature appreciation groups,1896
Cooking,Triathlons,Film festivals,Archaeological digs,1897
Woodworking,Volleyball,Art galleries,Physics lectures,1898
Cycling,Rock climbing,Indigenous art experiences,Scientific research,1899
Scuba diving,Soccer,Classical music appreciation,Political debates,1900
Stamp collecting,Martial arts,Opera,Genetics research,1901
Yoga,Rowing,Poetry slams,Economics forums,1902
Sewing,Yoga,Classical music appreciation,Political debates,1903
Scrapbooking,Kickboxing,Symphony orchestra performances,Legal seminars,1904
Gardening,Swimming,Shakespearean plays,Sociology conferences,1905
Playing guitar,Snowboarding,Theater,Astronomy clubs,1906
Photography,Ultimate Frisbee,Live storytelling events,Ethical debates,1907
Camping,Horseback riding,Opera appreciation,Chemistry experiments,1908
Playing guitar,Surfing,Symphony orchestra performances,Economics forums,1909
Playing chess,Ballet,Poetry slams,Astronomy clubs,1910
Scuba diving,Triathlons,Opera appreciation,Medical ethics debates,1911
Gardening,Surfing,Theater workshops,History lectures,1912
Gardening,Soccer,Cultural festivals,Linguistic analysis,1913
Baking,Volleyball,Symphony orchestra performances,Educational technology conferences,1914
Calligraphy,Rugby,Film analysis clubs,Astronomy clubs,1915
Cycling,Ultimate Frisbee,Photography exhibitions,Philosophy discussions,1916
Astronomy,Rowing,Poetry slams,Data analysis workshops,1917
Baking,Surfing,Impressionist art appreciation,Political science forums,1918
Hiking,Rowing,Symphony orchestra performances,Mathematics competitions,1919
Hiking,Archery,Film analysis clubs,Medical ethics debates,1920
Birdwatching,Gymnastics,Stand-up comedy shows,Educational technology conferences,1921
Pottery,Rock climbing,Poetry slams,Philosophy discussions,1922
Playing guitar,Rock climbing,Opera,Mathematics competitions,1923
Scuba diving,Judo,Renaissance art appreciation,Chemistry experiments,1924
Scuba diving,Surfing,Jazz clubs,Medical ethics debates,1925
Knitting,Surfing,Film festivals,Astronomy clubs,1926
Camping,Cycling,Theater,Literature appreciation groups,1927
Woodworking,Basketball,Museums,Robotics competitions,1928
DIY projects,Skiing,Impressionist art appreciation,Linguistics workshops,1929
Sewing,Golf,Baroque music appreciation,Bioinformatics symposiums,1930
Scuba diving,Rock climbing,Impressionist art appreciation,Academic publishing,1931
Scrapbooking,Horseback riding,Opera,Linguistics workshops,1932
Playing guitar,Triathlons,Pottery workshops,Legal seminars,1933
Painting,Rugby,Poetry readings,Legal seminars,1934
Pottery,Rowing,Book clubs,Archaeological digs,1935
Gardening,Sailing,Ballet,Environmental sustainability workshops,1936
Sewing,Swimming,Classical music appreciation,Scientific research,1937
Pottery,Yoga,Book clubs,Literature appreciation groups,1938
Scuba diving,Hip-hop dance,Impressionist art appreciation,Scientific research,1939
Meditation,Skiing,Impressionist art appreciation,Legal seminars,1940
Coin collecting,Yoga,Symphony orchestra performances,Data analysis workshops,1941
Ceramics,Volleyball,Photography exhibitions,Chemistry experiments,1942
Scrapbooking,Basketball,Film analysis clubs,Educational technology conferences,1943
Stamp collecting,Snowboarding,Renaissance art appreciation,Scientific research,1944
Meditation,Skateboarding,Poetry readings,Linguistics workshops,1945
Woodworking,Triathlons,Impressionist art appreciation,Computer programming hackathons,1946
Photography,Volleyball,Film festivals,Mathematics competitions,1947
Yoga,Ballet,Poetry readings,Robotics competitions,1948
"Model building (e.g., airplanes, ships)",Judo,Opera,Science fiction literature,1949
Playing chess,Ultimate Frisbee,Ballet,Ethical debates,1950
Playing guitar,Snowboarding,Renaissance art appreciation,Sociology conferences,1951
Astronomy,Martial arts,Theater workshops,Educational technology conferences,1952
Pottery,Fencing,Book clubs,Sociology conferences,1953
Meditation,Basketball,Cultural festivals,Medical ethics debates,1954
DIY projects,Kickboxing,Music concerts,Linguistic analysis,1955
Meditation,Yoga,Classical music appreciation,Educational technology conferences,1956
Fishing,Swimming,Street art tours,Academic publishing,1957
Calligraphy,Skiing,Poetry readings,Archaeological digs,1958
Ceramics,Karate,Symphony orchestra performances,Robotics competitions,1959
Antiques collecting,Rowing,Theater workshops,Medical ethics debates,1960
Gardening,Karate,Symphony orchestra performances,Scientific research,1961
Yoga,Soccer,Poetry slams,Political debates,1962
Reading,Mountain biking,Art galleries,Educational technology conferences,1963
Playing guitar,Golf,Museums,Astronomy clubs,1964
Calligraphy,Fencing,Renaissance art appreciation,Sociology conferences,1965
Ceramics,Tennis,Poetry slams,Climate change discussions,1966
Baking,Snowboarding,Theater,Environmental sustainability workshops,1967
Baking,Rowing,Street art tours,Computer programming hackathons,1968
Cooking,Skateboarding,Baroque music appreciation,Climate change discussions,1969
Knitting,Judo,Indigenous art experiences,Mathematics competitions,1970
Coin collecting,Volleyball,Stand-up comedy shows,Economics forums,1971
Photography,Archery,Opera appreciation,Educational technology conferences,1972
Playing chess,Cycling,Jazz clubs,Legal seminars,1973
DIY projects,Kickboxing,Theater workshops,Economics forums,1974
Reading,Archery,Theater,Physics lectures,1975
Hiking,Judo,Film analysis clubs,Bioinformatics symposiums,1976
Scuba diving,Rock climbing,Sculpture gardens,Educational technology conferences,1977
DIY projects,Rock climbing,Music concerts,Linguistic analysis,1978
Writing,Swimming,Theater,Science fiction literature,1979
Yoga,Rowing,Impressionist art appreciation,Psychology seminars,1980
Coin collecting,Karate,Jazz clubs,Literature appreciation groups,1981
Reading,Tennis,Impressionist art appreciation,Computer programming hackathons,1982
Ceramics,Surfing,Photography exhibitions,Psychology seminars,1983
"Model building (e.g., airplanes, ships)",Fencing,Renaissance art appreciation,Data analysis workshops,1984
Sewing,Tennis,Art galleries,Mathematics competitions,1985
Playing chess,Rock climbing,Cultural festivals,Psychology seminars,1986
Ceramics,Running,Cultural festivals,Academic publishing,1987
Antiques collecting,Basketball,Poetry readings,Scientific research,1988
Playing guitar,Soccer,Poetry slams,Political debates,1989
"Model building (e.g., airplanes, ships)",Sailing,World music concerts,Psychology seminars,1990
Sewing,Ballet,Sculpture gardens,Linguistics workshops,1991
Knitting,Skateboarding,Street art tours,Linguistic analysis,1992
Yoga,Gymnastics,Symphony orchestra performances,Academic publishing,1993
Scuba diving,Volleyball,Theater workshops,Chemistry experiments,1994
Camping,Gymnastics,Museums,Climate change discussions,1995
Meditation,Sailing,Shakespearean plays,Climate change discussions,1996
Ceramics,Kickboxing,Renaissance art appreciation,Sociology conferences,1997
Hiking,Mountain biking,Impressionist art appreciation,Mathematics competitions,1998
Stamp collecting,Gymnastics,Photography exhibitions,Physics lectures,1999
Camping,Skiing,Sculpture gardens,Bioinformatics symposiums,2000
